name	titles	function	steno_name	sex	party	birthdate	web_page
Adolf Jílek		Senátor	Senátor Adolf Jílek	Man	KDU-CSL	19490101	Senátor_Adolf_Jílek
Alena Palečková		Senátorka	Senátorka Alena Palečková	Woman	ODS	19470328	Senátorka_Alena_Palečková
Alena Páralová	Ing.	poslankyně	poslankyně alena páralová	Woman	ODS	19480101	/sqw/detail.sqw?o=3&id=406
Alena Svobodová	CSc. PhDr. Doc.	poslankyně	poslankyně alena svobodová	Woman	KSČM	19480101	/sqw/detail.sqw?id=313
Aleš Rozehnal		poslanec	poslanec aleš rozehnal	Man	ODS	19521127	/sqw/p.sqw?p=561
Alfréd Michalík		Senátor	Senátor Alfréd Michalík	Man	ČSSD	19440101	Senátor_Alfréd_Michalík
Andrej Grega		poslanec	poslanec andrej grega	Man	ČSSD	19500912	/sqw/p.sqw?p=458
Antonín Macháček	Ing.	poslanec	poslanec antonín macháček	Man	ČSSD	19510605	/sqw/p.sqw?p=522
Antonín Peltrám 	doc. Ing. CSc	ministr dopravy a spojů čr	ministr dopravy a spojů čr antonín peltrám	Man	ČSSD	19300101	/sqw/p.sqw?p=5222
Antonín Petráš		Senátor	Senátor Antonín Petráš	Man	KSČM	19410102	Senátor_Antonín_Petráš
Augustin Bubník		poslanec	poslanec augustin bubník	Man	ODS	19281221	/sqw/p.sqw?p=435
Bohumil Fišer		ministr zdravotnictví čr	ministr zdravotnictví bohumil fišer	Man	ČSSD	19430101	/sqw/detail.sqw?o=3&id=238
Bohumil Fišer		ministr zdravotnictví čr	ministr zdravotnictví čr bohumil fišer	Man	ČSSD	19430101	/sqw/detail.sqw?o=3&id=238
Bohuslav Sobotka	Mgr.	poslanec	poslanec bohuslav sobotka	Man	ČSSD	19711023	/sqw/detail.sqw?o=3&id=237
Bohuslav Záruba	Mgr.	poslanec	poslanec bohuslav záruba	Man	ODS	19400419	/sqw/p.sqw?p=615
Břetislav Petr	Ing.	poslanec	poslanec břetislav petr	Man	ČSSD	19370107	/sqw/p.sqw?p=553
Cyril Svoboda	JUDr.	ministr vnitra čr	ministr vnitra čr cyril svoboda	Man	KDU-ČSL	19560101	/sqw/detail.sqw?o=3&id=416
Cyril Svoboda	JUDr.	poslanec	poslanec cyril svoboda	Man	KDU-ČSL	19560101	/sqw/detail.sqw?o=3&id=416
Dagmar Lastovecká		Senátorka	Senátorka Dagmar Lastovecká	Woman	ODS	19510101	Senátorka_Dagmar_Lastovecká
Dalibor Matulka		poslanec	poslanec dalibor matulka	Man	KSČM	19530101	/sqw/p.sqw?p=530
Dalibor Matulka		poslanec	poslanec psp dalibor matulka	Man	KSČM	19530101	/sqw/p.sqw?p=530
